#,Name,Type 1,Type 2
107,Hitmonchan,Fighting,NULL
108,Lickitung,Normal,NULL
109,Koffing,Poison,NULL
110,Weezing,Poison,NULL
111,Rhyhorn,Ground,Rock
112,Rhydon,Ground,Rock
113,Chansey,Normal,NULL
114,Tangela,Grass,NULL
115,Kangaskhan,Normal,NULL
115,KangaskhanMega Kangaskhan,Normal,NULL
116,Horsea,Water,NULL
117,Seadra,Water,NULL
118,Goldeen,Water,NULL
119,Seaking,Water,NULL
120,Staryu,Water,NULL
121,Starmie,Water,Psychic
122,Mr. Mime,Psychic,Fairy
123,Scyther,Bug,Flying
124,Jynx,Ice,Psychic
125,Electabuzz,Electric,NULL
126,Magmar,Fire,NULL
127,Pinsir,Bug,NULL
127,PinsirMega Pinsir,Bug,Flying
128,Tauros,Normal,NULL
129,Magikarp,Water,NULL
130,Gyarados,Water,Flying
130,GyaradosMega Gyarados,Water,Dark
131,Lapras,Water,Ice
132,Ditto,Normal,NULL
133,Eevee,Normal,NULL
134,Vaporeon,Water,NULL
135,Jolteon,Electric,NULL
136,Flareon,Fire,NULL
137,Porygon,Normal,NULL
138,Omanyte,Rock,Water
139,Omastar,Rock,Water
140,Kabuto,Rock,Water
141,Kabutops,Rock,Water
142,Aerodactyl,Rock,Flying
142,AerodactylMega Aerodactyl,Rock,Flying
143,Snorlax,Normal,NULL
144,Articuno,Ice,Flying
145,Zapdos,Electric,Flying
146,Moltres,Fire,Flying
147,Dratini,Dragon,NULL
148,Dragonair,Dragon,NULL
149,Dragonite,Dragon,Flying
150,Mewtwo,Psychic,NULL
150,MewtwoMega Mewtwo X,Psychic,Fighting
150,MewtwoMega Mewtwo Y,Psychic,NULL
151,Mew,Psychic,NULL
152,Chikorita,Grass,NULL
153,Bayleef,Grass,NULL
154,Meganium,Grass,NULL
155,Cyndaquil,Fire,NULL
156,Quilava,Fire,NULL
157,Typhlosion,Fire,NULL
158,Totodile,Water,NULL
159,Croconaw,Water,NULL
160,Feraligatr,Water,NULL
161,Sentret,Normal,NULL
162,Furret,Normal,NULL
163,Hoothoot,Normal,Flying
164,Noctowl,Normal,Flying
165,Ledyba,Bug,Flying
166,Ledian,Bug,Flying
167,Spinarak,Bug,Poison
168,Ariados,Bug,Poison
169,Crobat,Poison,Flying
170,Chinchou,Water,Electric
171,Lanturn,Water,Electric
172,Pichu,Electric,NULL
173,Cleffa,Fairy,NULL
174,Igglybuff,Normal,Fairy
175,Togepi,Fairy,NULL
176,Togetic,Fairy,Flying
177,Natu,Psychic,Flying
178,Xatu,Psychic,Flying
179,Mareep,Electric,NULL
180,Flaaffy,Electric,NULL
181,Ampharos,Electric,NULL
181,AmpharosMega Ampharos,Electric,Dragon
182,Bellossom,Grass,NULL
183,Marill,Water,Fairy
184,Azumarill,Water,Fairy
185,Sudowoodo,Rock,NULL
186,Politoed,Water,NULL
187,Hoppip,Grass,Flying
188,Skiploom,Grass,Flying
189,Jumpluff,Grass,Flying
190,Aipom,Normal,NULL
191,Sunkern,Grass,NULL
192,Sunflora,Grass,NULL
193,Yanma,Bug,Flying
194,Wooper,Water,Ground
195,Quagsire,Water,Ground
196,Espeon,Psychic,NULL
197,Umbreon,Dark,NULL
198,Murkrow,Dark,Flying
199,Slowking,Water,Psychic
200,Misdreavus,Ghost,NULL
201,Unown,Psychic,NULL
202,Wobbuffet,Psychic,NULL
203,Girafarig,Normal,Psychic
204,Pineco,Bug,NULL
205,Forretress,Bug,Steel
206,Dunsparce,Normal,NULL
207,Gligar,Ground,Flying
208,Steelix,Steel,Ground
208,SteelixMega Steelix,Steel,Ground
209,Snubbull,Fairy,NULL
210,Granbull,Fairy,NULL
211,Qwilfish,Water,Poison
212,Scizor,Bug,Steel
212,ScizorMega Scizor,Bug,Steel
213,Shuckle,Bug,Rock
214,Heracross,Bug,Fighting
214,HeracrossMega Heracross,Bug,Fighting
215,Sneasel,Dark,Ice
216,Teddiursa,Normal,NULL
217,Ursaring,Normal,NULL
218,Slugma,Fire,NULL
219,Magcargo,Fire,Rock
220,Swinub,Ice,Ground
221,Piloswine,Ice,Ground
222,Corsola,Water,Rock
223,Remoraid,Water,NULL
224,Octillery,Water,NULL
225,Delibird,Ice,Flying
226,Mantine,Water,Flying
227,Skarmory,Steel,Flying
228,Houndour,Dark,Fire
229,Houndoom,Dark,Fire
229,HoundoomMega Houndoom,Dark,Fire
230,Kingdra,Water,Dragon
231,Phanpy,Ground,NULL
232,Donphan,Ground,NULL
233,Porygon2,Normal,NULL
234,Stantler,Normal,NULL
235,Smeargle,Normal,NULL
236,Tyrogue,Fighting,NULL
237,Hitmontop,Fighting,NULL
238,Smoochum,Ice,Psychic
239,Elekid,Electric,NULL
240,Magby,Fire,NULL
241,Miltank,Normal,NULL
242,Blissey,Normal,NULL
243,Raikou,Electric,NULL
244,Entei,Fire,NULL
245,Suicune,Water,NULL
246,Larvitar,Rock,Ground
247,Pupitar,Rock,Ground
248,Tyranitar,Rock,Dark
248,TyranitarMega Tyranitar,Rock,Dark
249,Lugia,Psychic,Flying
250,Ho-oh,Fire,Flying
251,Celebi,Psychic,Grass
252,Treecko,Grass,NULL
253,Grovyle,Grass,NULL
254,Sceptile,Grass,NULL
254,SceptileMega Sceptile,Grass,Dragon
255,Torchic,Fire,NULL
256,Combusken,Fire,Fighting
257,Blaziken,Fire,Fighting
257,BlazikenMega Blaziken,Fire,Fighting
258,Mudkip,Water,NULL
259,Marshtomp,Water,Ground
260,Swampert,Water,Ground
260,SwampertMega Swampert,Water,Ground
261,Poochyena,Dark,NULL
262,Mightyena,Dark,NULL
263,Zigzagoon,Normal,NULL
264,Linoone,Normal,NULL
265,Wurmple,Bug,NULL
266,Silcoon,Bug,NULL
267,Beautifly,Bug,Flying
268,Cascoon,Bug,NULL
269,Dustox,Bug,Poison
270,Lotad,Water,Grass
271,Lombre,Water,Grass
272,Ludicolo,Water,Grass
273,Seedot,Grass,NULL
274,Nuzleaf,Grass,Dark
275,Shiftry,Grass,Dark
276,Taillow,Normal,Flying
277,Swellow,Normal,Flying
278,Wingull,Water,Flying
279,Pelipper,Water,Flying
280,Ralts,Psychic,Fairy
281,Kirlia,Psychic,Fairy
282,Gardevoir,Psychic,Fairy
282,GardevoirMega Gardevoir,Psychic,Fairy
283,Surskit,Bug,Water
284,Masquerain,Bug,Flying
285,Shroomish,Grass,NULL
286,Breloom,Grass,Fighting
287,Slakoth,Normal,NULL
288,Vigoroth,Normal,NULL
289,Slaking,Normal,NULL
290,Nincada,Bug,Ground
291,Ninjask,Bug,Flying
292,Shedinja,Bug,Ghost
293,Whismur,Normal,NULL
294,Loudred,Normal,NULL
295,Exploud,Normal,NULL
296,Makuhita,Fighting,NULL
297,Hariyama,Fighting,NULL
298,Azurill,Normal,Fairy
299,Nosepass,Rock,NULL
300,Skitty,Normal,NULL
301,Delcatty,Normal,NULL
302,Sableye,Dark,Ghost
302,SableyeMega Sableye,Dark,Ghost
303,Mawile,Steel,Fairy
303,MawileMega Mawile,Steel,Fairy
304,Aron,Steel,Rock
305,Lairon,Steel,Rock
306,Aggron,Steel,Rock
306,AggronMega Aggron,Steel,NULL
307,Meditite,Fighting,Psychic
308,Medicham,Fighting,Psychic
308,MedichamMega Medicham,Fighting,Psychic
309,Electrike,Electric,NULL
310,Manectric,Electric,NULL
310,ManectricMega Manectric,Electric,NULL
311,Plusle,Electric,NULL
312,Minun,Electric,NULL
313,Volbeat,Bug,NULL
314,Illumise,Bug,NULL
315,Roselia,Grass,Poison
316,Gulpin,Poison,NULL
317,Swalot,Poison,NULL
318,Carvanha,Water,Dark
319,Sharpedo,Water,Dark
319,SharpedoMega Sharpedo,Water,Dark
320,Wailmer,Water,NULL
321,Wailord,Water,NULL
322,Numel,Fire,Ground
323,Camerupt,Fire,Ground
323,CameruptMega Camerupt,Fire,Ground
324,Torkoal,Fire,NULL
325,Spoink,Psychic,NULL
326,Grumpig,Psychic,NULL
327,Spinda,Normal,NULL
328,Trapinch,Ground,NULL
329,Vibrava,Ground,Dragon
330,Flygon,Ground,Dragon
331,Cacnea,Grass,NULL
332,Cacturne,Grass,Dark
333,Swablu,Normal,Flying
334,Altaria,Dragon,Flying
334,AltariaMega Altaria,Dragon,Fairy
335,Zangoose,Normal,NULL
336,Seviper,Poison,NULL
337,Lunatone,Rock,Psychic
338,Solrock,Rock,Psychic
339,Barboach,Water,Ground
340,Whiscash,Water,Ground
341,Corphish,Water,NULL
342,Crawdaunt,Water,Dark
343,Baltoy,Ground,Psychic
344,Claydol,Ground,Psychic
345,Lileep,Rock,Grass
346,Cradily,Rock,Grass
347,Anorith,Rock,Bug
348,Armaldo,Rock,Bug
349,Feebas,Water,NULL
350,Milotic,Water,NULL
351,Castform,Normal,NULL
352,Kecleon,Normal,NULL
353,Shuppet,Ghost,NULL
354,Banette,Ghost,NULL
354,BanetteMega Banette,Ghost,NULL
355,Duskull,Ghost,NULL
356,Dusclops,Ghost,NULL
357,Tropius,Grass,Flying
358,Chimecho,Psychic,NULL
359,Absol,Dark,NULL
359,AbsolMega Absol,Dark,NULL
360,Wynaut,Psychic,NULL
361,Snorunt,Ice,NULL
362,Glalie,Ice,NULL
362,GlalieMega Glalie,Ice,NULL
363,Spheal,Ice,Water
364,Sealeo,Ice,Water
365,Walrein,Ice,Water
366,Clamperl,Water,NULL
367,Huntail,Water,NULL
368,Gorebyss,Water,NULL
369,Relicanth,Water,Rock
370,Luvdisc,Water,NULL
371,Bagon,Dragon,NULL
372,Shelgon,Dragon,NULL
373,Salamence,Dragon,Flying
373,SalamenceMega Salamence,Dragon,Flying
374,Beldum,Steel,Psychic
375,Metang,Steel,Psychic
376,Metagross,Steel,Psychic
376,MetagrossMega Metagross,Steel,Psychic
377,Regirock,Rock,NULL
378,Regice,Ice,NULL
379,Registeel,Steel,NULL
380,Latias,Dragon,Psychic
380,LatiasMega Latias,Dragon,Psychic
381,Latios,Dragon,Psychic
381,LatiosMega Latios,Dragon,Psychic
382,Kyogre,Water,NULL
382,KyogrePrimal Kyogre,Water,NULL
383,Groudon,Ground,NULL
383,GroudonPrimal Groudon,Ground,Fire
384,Rayquaza,Dragon,Flying
384,RayquazaMega Rayquaza,Dragon,Flying
385,Jirachi,Steel,Psychic
386,DeoxysNormal Forme,Psychic,NULL
386,DeoxysAttack Forme,Psychic,NULL
386,DeoxysDefense Forme,Psychic,NULL
386,DeoxysSpeed Forme,Psychic,NULL
387,Turtwig,Grass,NULL
388,Grotle,Grass,NULL
389,Torterra,Grass,Ground
390,Chimchar,Fire,NULL
391,Monferno,Fire,Fighting
392,Infernape,Fire,Fighting
393,Piplup,Water,NULL
394,Prinplup,Water,NULL
395,Empoleon,Water,Steel
396,Starly,Normal,Flying
397,Staravia,Normal,Flying
398,Staraptor,Normal,Flying
399,Bidoof,Normal,NULL
400,Bibarel,Normal,Water
401,Kricketot,Bug,NULL
402,Kricketune,Bug,NULL
403,Shinx,Electric,NULL
404,Luxio,Electric,NULL
405,Luxray,Electric,NULL
406,Budew,Grass,Poison
407,Roserade,Grass,Poison
408,Cranidos,Rock,NULL
409,Rampardos,Rock,NULL
410,Shieldon,Rock,Steel
411,Bastiodon,Rock,Steel
412,Burmy,Bug,NULL
413,WormadamPlant Cloak,Bug,Grass
413,WormadamSandy Cloak,Bug,Ground
413,WormadamTrash Cloak,Bug,Steel
414,Mothim,Bug,Flying
415,Combee,Bug,Flying
416,Vespiquen,Bug,Flying
417,Pachirisu,Electric,NULL
418,Buizel,Water,NULL
419,Floatzel,Water,NULL
420,Cherubi,Grass,NULL
421,Cherrim,Grass,NULL
422,Shellos,Water,NULL
423,Gastrodon,Water,Ground
424,Ambipom,Normal,NULL
425,Drifloon,Ghost,Flying
426,Drifblim,Ghost,Flying
427,Buneary,Normal,NULL
428,Lopunny,Normal,NULL
428,LopunnyMega Lopunny,Normal,Fighting
429,Mismagius,Ghost,NULL
430,Honchkrow,Dark,Flying
431,Glameow,Normal,NULL
432,Purugly,Normal,NULL
433,Chingling,Psychic,NULL
434,Stunky,Poison,Dark
435,Skuntank,Poison,Dark
436,Bronzor,Steel,Psychic
437,Bronzong,Steel,Psychic
438,Bonsly,Rock,NULL
439,Mime Jr.,Psychic,Fairy
440,Happiny,Normal,NULL
441,Chatot,Normal,Flying
442,Spiritomb,Ghost,Dark
443,Gible,Dragon,Ground
444,Gabite,Dragon,Ground
445,Garchomp,Dragon,Ground
445,GarchompMega Garchomp,Dragon,Ground
446,Munchlax,Normal,NULL
447,Riolu,Fighting,NULL
448,Lucario,Fighting,Steel
448,LucarioMega Lucario,Fighting,Steel
449,Hippopotas,Ground,NULL
450,Hippowdon,Ground,NULL
451,Skorupi,Poison,Bug
452,Drapion,Poison,Dark
453,Croagunk,Poison,Fighting
454,Toxicroak,Poison,Fighting
455,Carnivine,Grass,NULL
456,Finneon,Water,NULL
457,Lumineon,Water,NULL
458,Mantyke,Water,Flying
459,Snover,Grass,Ice
460,Abomasnow,Grass,Ice
460,AbomasnowMega Abomasnow,Grass,Ice
461,Weavile,Dark,Ice
462,Magnezone,Electric,Steel
463,Lickilicky,Normal,NULL
464,Rhyperior,Ground,Rock
465,Tangrowth,Grass,NULL
466,Electivire,Electric,NULL
467,Magmortar,Fire,NULL
468,Togekiss,Fairy,Flying
469,Yanmega,Bug,Flying
470,Leafeon,Grass,NULL
471,Glaceon,Ice,NULL
472,Gliscor,Ground,Flying
473,Mamoswine,Ice,Ground
474,Porygon-Z,Normal,NULL
475,Gallade,Psychic,Fighting
475,GalladeMega Gallade,Psychic,Fighting
476,Probopass,Rock,Steel
477,Dusknoir,Ghost,NULL
478,Froslass,Ice,Ghost
479,Rotom,Electric,Ghost
479,RotomHeat Rotom,Electric,Fire
479,RotomWash Rotom,Electric,Water
479,RotomFrost Rotom,Electric,Ice
479,RotomFan Rotom,Electric,Flying
479,RotomMow Rotom,Electric,Grass
480,Uxie,Psychic,NULL
481,Mesprit,Psychic,NULL
482,Azelf,Psychic,NULL
483,Dialga,Steel,Dragon
484,Palkia,Water,Dragon
485,Heatran,Fire,Steel
486,Regigigas,Normal,NULL
487,GiratinaAltered Forme,Ghost,Dragon
487,GiratinaOrigin Forme,Ghost,Dragon
488,Cresselia,Psychic,NULL
489,Phione,Water,NULL
490,Manaphy,Water,NULL
491,Darkrai,Dark,NULL
492,ShayminLand Forme,Grass,NULL
492,ShayminSky Forme,Grass,Flying
493,Arceus,Normal,NULL
494,Victini,Psychic,Fire
495,Snivy,Grass,NULL
496,Servine,Grass,NULL
497,Serperior,Grass,NULL
498,Tepig,Fire,NULL
499,Pignite,Fire,Fighting
500,Emboar,Fire,Fighting
501,Oshawott,Water,NULL
502,Dewott,Water,NULL
503,Samurott,Water,NULL
504,Patrat,Normal,NULL
505,Watchog,Normal,NULL
506,Lillipup,Normal,NULL
507,Herdier,Normal,NULL
508,Stoutland,Normal,NULL
509,Purrloin,Dark,NULL
510,Liepard,Dark,NULL
511,Pansage,Grass,NULL
512,Simisage,Grass,NULL
513,Pansear,Fire,NULL
514,Simisear,Fire,NULL
515,Panpour,Water,NULL
516,Simipour,Water,NULL
517,Munna,Psychic,NULL
518,Musharna,Psychic,NULL
519,Pidove,Normal,Flying
520,Tranquill,Normal,Flying
521,Unfezant,Normal,Flying
522,Blitzle,Electric,NULL
523,Zebstrika,Electric,NULL
524,Roggenrola,Rock,NULL
525,Boldore,Rock,NULL
526,Gigalith,Rock,NULL
527,Woobat,Psychic,Flying
528,Swoobat,Psychic,Flying
529,Drilbur,Ground,NULL
530,Excadrill,Ground,Steel
531,Audino,Normal,NULL
531,AudinoMega Audino,Normal,Fairy
532,Timburr,Fighting,NULL
533,Gurdurr,Fighting,NULL
534,Conkeldurr,Fighting,NULL
535,Tympole,Water,NULL
536,Palpitoad,Water,Ground
537,Seismitoad,Water,Ground
538,Throh,Fighting,NULL
539,Sawk,Fighting,NULL
540,Sewaddle,Bug,Grass
541,Swadloon,Bug,Grass
542,Leavanny,Bug,Grass
543,Venipede,Bug,Poison
544,Whirlipede,Bug,Poison
545,Scolipede,Bug,Poison
546,Cottonee,Grass,Fairy
547,Whimsicott,Grass,Fairy
548,Petilil,Grass,NULL
549,Lilligant,Grass,NULL
550,Basculin,Water,NULL
551,Sandile,Ground,Dark
552,Krokorok,Ground,Dark
553,Krookodile,Ground,Dark
554,Darumaka,Fire,NULL
555,DarmanitanStandard Mode,Fire,NULL
555,DarmanitanZen Mode,Fire,Psychic
556,Maractus,Grass,NULL
557,Dwebble,Bug,Rock
558,Crustle,Bug,Rock
559,Scraggy,Dark,Fighting
560,Scrafty,Dark,Fighting
561,Sigilyph,Psychic,Flying
562,Yamask,Ghost,NULL
563,Cofagrigus,Ghost,NULL
564,Tirtouga,Water,Rock
565,Carracosta,Water,Rock
566,Archen,Rock,Flying
567,Archeops,Rock,Flying
568,Trubbish,Poison,NULL
569,Garbodor,Poison,NULL
570,Zorua,Dark,NULL
571,Zoroark,Dark,NULL
572,Minccino,Normal,NULL
573,Cinccino,Normal,NULL
574,Gothita,Psychic,NULL
575,Gothorita,Psychic,NULL
576,Gothitelle,Psychic,NULL
577,Solosis,Psychic,NULL
578,Duosion,Psychic,NULL
579,Reuniclus,Psychic,NULL
580,Ducklett,Water,Flying
581,Swanna,Water,Flying
582,Vanillite,Ice,NULL
583,Vanillish,Ice,NULL
584,Vanilluxe,Ice,NULL
585,Deerling,Normal,Grass
586,Sawsbuck,Normal,Grass
587,Emolga,Electric,Flying
588,Karrablast,Bug,NULL
589,Escavalier,Bug,Steel
590,Foongus,Grass,Poison
591,Amoonguss,Grass,Poison
592,Frillish,Water,Ghost
593,Jellicent,Water,Ghost
594,Alomomola,Water,NULL
595,Joltik,Bug,Electric
596,Galvantula,Bug,Electric
597,Ferroseed,Grass,Steel
598,Ferrothorn,Grass,Steel
599,Klink,Steel,NULL
600,Klang,Steel,NULL
601,Klinklang,Steel,NULL
602,Tynamo,Electric,NULL
603,Eelektrik,Electric,NULL
604,Eelektross,Electric,NULL
605,Elgyem,Psychic,NULL
606,Beheeyem,Psychic,NULL
607,Litwick,Ghost,Fire
608,Lampent,Ghost,Fire
609,Chandelure,Ghost,Fire
610,Axew,Dragon,NULL
611,Fraxure,Dragon,NULL
612,Haxorus,Dragon,NULL
613,Cubchoo,Ice,NULL
614,Beartic,Ice,NULL
615,Cryogonal,Ice,NULL
616,Shelmet,Bug,NULL
617,Accelgor,Bug,NULL
618,Stunfisk,Ground,Electric
619,Mienfoo,Fighting,NULL
620,Mienshao,Fighting,NULL
621,Druddigon,Dragon,NULL
622,Golett,Ground,Ghost
623,Golurk,Ground,Ghost
624,Pawniard,Dark,Steel
625,Bisharp,Dark,Steel
626,Bouffalant,Normal,NULL
627,Rufflet,Normal,Flying
628,Braviary,Normal,Flying
629,Vullaby,Dark,Flying
630,Mandibuzz,Dark,Flying
631,Heatmor,Fire,NULL
632,Durant,Bug,Steel
633,Deino,Dark,Dragon
634,Zweilous,Dark,Dragon
635,Hydreigon,Dark,Dragon
636,Larvesta,Bug,Fire
637,Volcarona,Bug,Fire
638,Cobalion,Steel,Fighting
639,Terrakion,Rock,Fighting
640,Virizion,Grass,Fighting
641,TornadusIncarnate Forme,Flying,NULL
641,TornadusTherian Forme,Flying,NULL
642,ThundurusIncarnate Forme,Electric,Flying
642,ThundurusTherian Forme,Electric,Flying
643,Reshiram,Dragon,Fire
644,Zekrom,Dragon,Electric
645,LandorusIncarnate Forme,Ground,Flying
645,LandorusTherian Forme,Ground,Flying
646,Kyurem,Dragon,Ice
646,KyuremBlack Kyurem,Dragon,Ice
646,KyuremWhite Kyurem,Dragon,Ice
647,KeldeoOrdinary Forme,Water,Fighting
647,KeldeoResolute Forme,Water,Fighting
648,MeloettaAria Forme,Normal,Psychic
648,MeloettaPirouette Forme,Normal,Fighting
649,Genesect,Bug,Steel
650,Chespin,Grass,NULL
651,Quilladin,Grass,NULL
652,Chesnaught,Grass,Fighting
653,Fennekin,Fire,NULL
654,Braixen,Fire,NULL
655,Delphox,Fire,Psychic
656,Froakie,Water,NULL
657,Frogadier,Water,NULL
658,Greninja,Water,Dark
659,Bunnelby,Normal,NULL
660,Diggersby,Normal,Ground
661,Fletchling,Normal,Flying
662,Fletchinder,Fire,Flying
663,Talonflame,Fire,Flying
664,Scatterbug,Bug,NULL
665,Spewpa,Bug,NULL
666,Vivillon,Bug,Flying
667,Litleo,Fire,Normal
668,Pyroar,Fire,Normal
669,Flab??b??,Fairy,NULL
670,Floette,Fairy,NULL
671,Florges,Fairy,NULL
672,Skiddo,Grass,NULL
673,Gogoat,Grass,NULL
674,Pancham,Fighting,NULL
675,Pangoro,Fighting,Dark
676,Furfrou,Normal,NULL
677,Espurr,Psychic,NULL
678,MeowsticMale,Psychic,NULL
678,MeowsticFemale,Psychic,NULL
679,Honedge,Steel,Ghost
680,Doublade,Steel,Ghost
681,AegislashBlade Forme,Steel,Ghost
681,AegislashShield Forme,Steel,Ghost
682,Spritzee,Fairy,NULL
683,Aromatisse,Fairy,NULL
684,Swirlix,Fairy,NULL
685,Slurpuff,Fairy,NULL
686,Inkay,Dark,Psychic
687,Malamar,Dark,Psychic
688,Binacle,Rock,Water
689,Barbaracle,Rock,Water
690,Skrelp,Poison,Water
691,Dragalge,Poison,Dragon
692,Clauncher,Water,NULL
693,Clawitzer,Water,NULL
694,Helioptile,Electric,Normal
695,Heliolisk,Electric,Normal
696,Tyrunt,Rock,Dragon
697,Tyrantrum,Rock,Dragon
698,Amaura,Rock,Ice
699,Aurorus,Rock,Ice
700,Sylveon,Fairy,NULL
701,Hawlucha,Fighting,Flying
702,Dedenne,Electric,Fairy
703,Carbink,Rock,Fairy
704,Goomy,Dragon,NULL
705,Sliggoo,Dragon,NULL
706,Goodra,Dragon,NULL
707,Klefki,Steel,Fairy
708,Phantump,Ghost,Grass
709,Trevenant,Ghost,Grass
710,PumpkabooAverage Size,Ghost,Grass
710,PumpkabooSmall Size,Ghost,Grass
710,PumpkabooLarge Size,Ghost,Grass
710,PumpkabooSuper Size,Ghost,Grass
711,GourgeistAverage Size,Ghost,Grass
711,GourgeistSmall Size,Ghost,Grass
711,GourgeistLarge Size,Ghost,Grass
711,GourgeistSuper Size,Ghost,Grass
712,Bergmite,Ice,NULL
713,Avalugg,Ice,NULL
714,Noibat,Flying,Dragon
715,Noivern,Flying,Dragon
716,Xerneas,Fairy,NULL
717,Yveltal,Dark,Flying
718,Zygarde50% Forme,Dragon,Ground
719,Diancie,Rock,Fairy
719,DiancieMega Diancie,Rock,Fairy
720,HoopaHoopa Confined,Psychic,Ghost
720,HoopaHoopa Unbound,Psychic,Dark
721,Volcanion,Fire,Water
